timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639410059795,14,Request,200,OK,TG 1-3,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,8,0,0
1639410059794,15,Request,200,OK,TG 1-4,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410059915,4,Request,200,OK,TG 1-5,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060008,5,Request,200,OK,TG 1-7,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060010,4,Request,200,OK,TG 1-6,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060074,5,Request,200,OK,TG 1-4,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060075,6,Request,200,OK,TG 1-3,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060075,9,Request,200,OK,TG 1-2,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,3,0,0
1639410060074,10,Request,200,OK,TG 1-1,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,7,0,0
1639410060194,4,Request,200,OK,TG 1-5,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060288,6,Request,200,OK,TG 1-7,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060289,9,Request,200,OK,TG 1-6,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,6,0,0
1639410060355,5,Request,200,OK,TG 1-1,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060354,8,Request,200,OK,TG 1-4,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060355,8,Request,200,OK,TG 1-3,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,4,0,0
1639410060355,9,Request,200,OK,TG 1-2,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,3,0,0
