r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st

 1,0,0,1342532,50112,986664,0,0,0,0,1988,463,10,40,50,0,0

 2,0,0,1342884,50120,986664,0,0,0,12,1620,458,11,36,53,0,0

 0,0,0,1342916,50120,986664,0,0,0,0,1589,414,6,23,71,0,0

 0,0,0,1342884,50120,986668,0,0,0,0,1705,423,8,25,67,0,0

 0,0,0,1342916,50120,986668,0,0,0,0,1410,400,5,18,77,0,0

 0,0,0,1342916,50120,986672,0,0,0,0,1871,418,8,27,65,0,0

 0,0,0,1342916,50128,986672,0,0,0,12,1751,465,8,26,66,0,0

 0,0,0,1342916,50128,986672,0,0,0,0,1394,374,5,19,76,0,0

 0,0,0,1342916,50128,986676,0,0,0,0,1725,425,9,24,66,0,0

 0,0,0,1342276,50128,986676,0,0,0,0,1675,447,11,29,60,0,0

 0,0,0,1342916,50128,986680,0,0,0,0,2071,483,8,32,60,0,0

 3,0,0,1342532,50136,986680,0,0,0,12,1816,638,11,28,60,0,0

 0,0,0,1342916,50136,986680,0,0,0,0,1232,363,9,16,75,0,0

 0,0,0,1342916,50136,986684,0,0,0,0,1842,424,5,32,63,0,0

 0,0,0,1342884,50136,986684,0,0,0,56,1989,514,10,32,57,0,0

 0,0,0,1342916,50136,986688,0,0,0,0,1844,440,6,32,62,0,0

 0,0,0,1342916,50148,986688,0,0,0,40,1972,487,7,36,57,0,0

 0,0,0,1342916,50148,986688,0,0,0,0,1361,399,10,20,70,0,0

 3,0,0,1342532,50148,986692,0,0,0,0,1237,381,6,15,78,0,0

 0,0,0,1342916,50148,986692,0,0,0,0,1815,451,9,28,63,0,0

 0,0,0,1342916,50148,986696,0,0,0,0,1907,473,8,33,60,0,0

 0,0,0,1342884,50156,986696,0,0,0,12,1666,428,7,25,68,0,0

 2,0,0,1342404,50156,986700,0,0,0,0,1668,445,7,25,67,0,0

 0,0,0,1342916,50156,986700,0,0,0,0,1955,468,8,37,56,0,0

 0,0,0,1342884,50156,986700,0,0,0,0,1563,433,6,23,70,0,0

 2,0,0,1342468,50156,986704,0,0,0,0,2076,519,11,36,53,0,0

 2,0,0,1342916,50164,986704,0,0,0,12,1488,447,15,23,63,0,0

 0,0,0,1342884,50164,986708,0,0,0,0,1741,413,7,28,65,0,0

 0,0,0,1342916,50164,986708,0,0,0,0,1421,408,9,16,75,0,0

 2,0,0,1342916,50164,986708,0,0,0,0,1337,387,6,20,74,0,0

 0,0,0,1342916,50164,986712,0,0,0,0,1903,440,8,29,63,0,0

 0,0,0,1342916,50172,986716,0,0,0,12,1299,381,9,19,72,0,0

 2,0,0,1342468,50172,986720,0,0,0,0,1846,439,8,38,54,0,0

 2,0,0,1342404,50172,986720,0,0,0,0,1704,415,6,28,66,0,0

 0,0,0,1342916,50172,986724,0,0,0,0,2215,507,10,35,55,0,0

 1,0,0,1342500,50172,986724,0,0,0,40,1775,417,7,26,66,0,0

 0,0,0,1342632,50184,986724,0,0,0,28,2119,518,15,40,45,0,0

 1,0,0,1342280,50184,986728,0,0,0,0,1590,414,6,25,69,0,0

 0,0,0,1342664,50184,986728,0,0,0,0,1892,454,7,32,61,0,0

 0,0,0,1342664,50184,986732,0,0,0,0,1780,479,10,25,65,0,0

 0,0,0,1342664,50184,986732,0,0,0,0,1675,429,8,27,65,0,0

 2,0,0,1342216,50192,986732,0,0,0,12,1674,618,10,32,58,0,0

 0,0,0,1342664,50192,986736,0,0,0,0,2063,503,9,34,57,0,0

 0,0,0,1342664,50192,986736,0,0,0,0,1667,409,7,26,67,0,0

 0,0,0,1342664,50192,986740,0,0,0,0,1483,434,10,20,69,0,0

 0,0,0,1342632,50192,986740,0,0,0,0,1943,470,11,32,57,0,0

 0,0,0,1342664,50200,986740,0,0,0,12,1407,393,5,22,73,0,0

 0,0,0,1342632,50200,986744,0,0,0,0,1804,469,9,33,58,0,0

 0,0,0,1342664,50200,986744,0,0,0,0,1437,397,10,18,72,0,0

 0,0,0,1342664,50200,986748,0,0,0,0,1290,377,8,18,74,0,0

 0,0,0,1342664,50200,986748,0,0,0,0,1805,475,11,32,57,0,0

 2,0,0,1342152,50208,986752,0,0,0,12,1845,461,7,30,63,0,0

 1,0,0,1342344,50208,986752,0,0,0,0,1238,344,8,18,74,0,0

 1,0,0,1342664,50208,986752,0,0,0,0,955,332,8,9,82,0,0

 0,0,0,1342664,50208,986756,0,0,0,0,1754,435,6,29,65,0,0

 0,0,0,1342664,50208,986756,0,0,0,36,1273,383,9,20,72,0,0

 0,0,0,1342664,50220,986760,0,0,0,28,1796,464,9,31,59,0,0

 1,0,0,1341448,50220,986760,0,0,0,0,1789,441,8,31,61,0,0

 1,0,0,1342280,50220,986760,0,0,0,0,1971,507,12,32,56,0,0

 1,0,0,1342600,50220,986764,0,0,0,0,2049,459,7,34,59,0,0

 1,0,0,1341512,50220,986764,0,0,0,0,1342,344,5,19,76,0,0

 2,0,0,1342344,50228,986768,0,0,0,12,1528,424,12,38,51,0,0

 0,0,0,1342664,50228,986768,0,0,0,0,1395,390,6,24,70,0,0

 0,0,0,1342664,50228,986768,0,0,0,0,1395,370,5,20,75,0,0

 0,0,0,1342664,50228,986772,0,0,0,0,1924,510,8,31,60,0,0

 0,0,0,1342664,50228,986772,0,0,0,0,1492,392,5,20,74,0,0

 0,0,0,1342664,50236,986776,0,0,0,12,1907,463,6,28,66,0,0

 1,0,0,1342664,50236,986776,0,0,0,12,1667,427,8,21,71,0,0

 0,0,0,1342664,50236,986780,0,0,0,0,1515,430,5,23,72,0,0

 0,0,0,1342632,50236,986780,0,0,0,0,1548,438,10,27,63,0,0

 0,0,0,1342664,50236,986780,0,0,0,0,2095,507,5,34,61,0,0

 0,0,0,1342664,50244,986784,0,0,0,12,1531,382,6,22,72,0,0

 0,0,0,1342664,50244,986784,0,0,0,0,1575,658,9,24,66,0,0

 0,0,0,1342664,50244,986788,0,0,0,0,1779,436,5,28,67,0,0

 0,0,0,1342664,50260,986776,0,0,0,80,1423,429,6,22,72,0,0

 2,0,0,1342664,50260,986792,0,0,0,36,1852,485,10,30,60,0,0

 0,0,0,1342664,50260,986796,0,0,0,0,1336,359,6,18,76,0,0

 0,0,0,1342664,50260,986796,0,0,0,0,1333,368,7,20,73,0,0

 1,0,0,1342280,50260,986800,0,0,0,0,2204,535,8,43,49,0,0

 0,0,0,1342664,50268,986792,0,0,0,28,1849,459,5,32,63,0,0

 0,0,0,1342664,50268,986800,0,0,0,0,2066,469,9,31,60,0,0

 1,0,0,1342216,50268,986804,0,0,0,0,2089,494,7,36,57,0,0

 1,0,0,1342280,50268,986804,0,0,0,0,1227,378,5,16,79,0,0

 0,0,0,1342664,50268,986808,0,0,0,0,1596,435,7,26,67,0,0

 2,0,0,1342280,50276,986800,0,0,0,12,1217,387,6,17,77,0,0

 4,0,0,1341580,50276,986812,0,0,0,0,1479,393,8,25,67,0,0

